track,sample,lon,lat,pressure
Invest_GEFS,6,148.5,18.0,977.1396
Invest_GEFS,6,145.5,18.0,971.5084
Invest_GEFS,6,142.0,18.0,966.19446
Invest_GEFS,6,138.5,18.0,963.6511
Invest_GEFS,6,135.0,18.0,961.0681
Invest_GEFS,6,131.5,17.5,963.0071
Invest_GEFS,6,129.0,17.0,966.1609
Invest_GEFS,6,126.0,17.5,961.92346
Invest_GEFS,6,123.0,18.5,963.96185
Invest_GEFS,6,120.5,19.0,969.11755
Invest_GEFS,7,162.0,47.5,985.34265
Invest_GEFS,7,164.5,48.5,982.7073
Invest_GEFS,7,167.0,49.0,985.73627
Invest_GEFS,7,171.0,51.0,989.6205
Invest_GEFS,7,172.0,52.0,993.81036
Invest_GEFS,7,167.0,12.5,997.7433
Invest_GEFS,7,166.0,14.0,994.3805
Invest_GEFS,7,164.5,15.0,988.5723
Invest_GEFS,7,162.5,16.5,980.6181
Invest_GEFS,7,160.5,17.5,973.9137
Invest_GEFS,7,159.0,18.0,969.0645
Invest_GEFS,7,158.0,19.0,963.9054
Invest_GEFS,7,157.0,19.5,959.76733
Invest_GEFS,7,156.0,21.0,958.35236
Invest_GEFS,7,154.0,22.5,955.58984
Invest_GEFS,7,152.0,24.0,952.5485
Invest_GEFS,7,150.5,26.0,949.3695
Invest_GEFS,7,149.5,28.5,947.71204
Invest_GEFS,7,149.5,32.0,955.09875
Invest_GEFS,7,150.5,36.0,962.96893
Invest_GEFS,7,152.5,41.0,965.40857
Invest_GEFS,8,162.0,47.5,984.1987
Invest_GEFS,8,164.5,48.5,982.62555
Invest_GEFS,8,167.0,49.5,985.6188
Invest_GEFS,8,170.0,50.5,988.517
Invest_GEFS,8,171.0,51.5,993.0139
Invest_GEFS,8,122.5,53.5,997.24805
Invest_GEFS,8,125.5,53.5,997.1983
Invest_GEFS,8,125.0,52.5,993.7021
Invest_GEFS,8,127.5,52.5,994.0361
Invest_GEFS,8,129.0,51.0,993.1995
Invest_GEFS,8,131.0,51.0,995.47656
Invest_GEFS,8,111.0,35.5,995.00037
Invest_GEFS,8,152.5,14.5,996.2725
Invest_GEFS,8,150.5,16.0,994.03143
Invest_GEFS,8,147.5,17.0,992.25494
Invest_GEFS,8,145.5,18.0,988.43634
Invest_GEFS,8,144.5,19.0,986.54987
Invest_GEFS,8,143.5,21.0,983.95386
Invest_GEFS,8,142.0,23.5,984.13446
Invest_GEFS,8,140.5,25.5,984.0492
Invest_GEFS,8,139.0,27.0,983.45514
Invest_GEFS,9,161.5,47.5,984.1954
Invest_GEFS,9,164.0,48.5,980.0433
Invest_GEFS,9,167.0,49.0,983.58734
Invest_GEFS,9,170.0,50.5,988.4635
Invest_GEFS,9,171.0,51.0,992.34827
Invest_GEFS,9,123.0,59.0,996.5859
Invest_GEFS,9,122.5,59.0,996.9888
Invest_GEFS,9,119.0,49.5,995.4941
Invest_GEFS,9,100.0,41.5,994.7874
Invest_GEFS,9,100.5,41.5,991.16205
Invest_GEFS,9,100.0,41.5,989.0695
Invest_GEFS,9,124.0,49.0,988.7177
Invest_GEFS,9,123.0,45.0,989.84717
Invest_GEFS,9,122.5,45.0,991.0065
Invest_GEFS,9,125.5,48.0,993.33276
Invest_GEFS,9,148.0,14.5,992.8574
Invest_GEFS,9,146.0,14.5,989.4098
Invest_GEFS,9,145.0,15.5,987.43536
Invest_GEFS,9,143.5,15.5,987.1244
Invest_GEFS,9,142.5,16.0,985.0814
Invest_GEFS,9,142.5,17.0,986.02686
Invest_GEFS,10,161.5,47.0,983.92883
Invest_GEFS,10,164.0,48.0,982.4617
Invest_GEFS,10,167.0,49.0,986.45935
Invest_GEFS,10,170.0,50.5,990.05475
Invest_GEFS,10,171.5,51.5,996.6856
Invest_GEFS,10,121.0,58.5,997.5783
Invest_GEFS,10,121.5,58.5,998.9613
Invest_GEFS,10,121.5,53.5,995.5016
Invest_GEFS,10,123.0,53.0,996.92346
Invest_GEFS,10,100.5,41.5,992.6989
Invest_GEFS,10,101.0,41.0,990.87476
Invest_GEFS,10,161.5,16.5,991.1492
Invest_GEFS,10,160.0,17.5,986.35846
Invest_GEFS,10,158.0,18.0,982.88007
Invest_GEFS,10,156.0,18.5,980.0
Invest_GEFS,10,154.5,19.5,976.3209
Invest_GEFS,10,152.5,20.5,973.7301
Invest_GEFS,10,151.0,21.5,970.4929
Invest_GEFS,10,149.5,23.5,966.9119
Invest_GEFS,10,148.0,26.0,963.7598
Invest_GEFS,10,146.0,28.5,960.3465
Invest_GEFS,11,162.5,47.5,983.725
Invest_GEFS,11,164.5,48.5,982.8071
Invest_GEFS,11,168.5,49.0,986.35846
Invest_GEFS,11,172.0,51.0,990.0135
Invest_GEFS,11,173.0,51.5,994.2111
Invest_GEFS,11,176.5,52.0,1000.9634
Invest_GEFS,11,165.0,10.5,999.8373
Invest_GEFS,11,164.0,11.5,996.7372
Invest_GEFS,11,162.5,12.5,993.8214
Invest_GEFS,11,162.0,13.5,992.34656
Invest_GEFS,11,100.5,41.5,991.2112
Invest_GEFS,11,159.5,15.0,987.19586
Invest_GEFS,11,157.5,15.5,981.1093
Invest_GEFS,11,156.0,16.0,974.72314
Invest_GEFS,11,154.0,17.0,968.2615
Invest_GEFS,11,152.0,17.5,963.5704
Invest_GEFS,11,150.0,18.5,957.8607
Invest_GEFS,11,148.0,19.5,953.4037
Invest_GEFS,11,146.0,21.0,950.7025
Invest_GEFS,11,144.5,23.5,948.95087
Invest_GEFS,11,142.5,26.0,946.2603
Invest_GEFS,12,161.5,47.5,984.4522
Invest_GEFS,12,164.5,48.5,983.22925
Invest_GEFS,12,167.5,49.0,985.6177
Invest_GEFS,12,171.5,50.5,989.59827
Invest_GEFS,12,172.5,51.5,993.3335
Invest_GEFS,12,176.5,52.5,997.9943
Invest_GEFS,12,119.5,54.0,997.8206
Invest_GEFS,12,123.0,53.5,994.5027
Invest_GEFS,12,100.5,41.5,995.1729
Invest_GEFS,12,117.5,49.5,993.9122
Invest_GEFS,12,166.0,47.0,990.23065
Invest_GEFS,12,100.5,41.0,990.633
Invest_GEFS,12,100.0,41.5,991.0934
Invest_GEFS,12,154.0,13.5,989.16455
Invest_GEFS,12,152.0,14.0,986.57385
Invest_GEFS,12,150.5,14.5,982.05975
Invest_GEFS,12,149.0,15.0,975.053
Invest_GEFS,12,147.5,16.5,969.9433
Invest_GEFS,12,145.5,17.5,967.3127
Invest_GEFS,12,143.0,19.5,964.64233
Invest_GEFS,12,140.0,21.5,960.03564
Invest_GEFS,13,162.0,48.0,983.5842
Invest_GEFS,13,163.5,48.0,981.64294
Invest_GEFS,13,166.5,48.5,983.5902
Invest_GEFS,13,170.0,50.0,987.47314
Invest_GEFS,13,172.5,51.0,992.3451
Invest_GEFS,13,177.5,52.5,996.9679
