# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
init_time,track_id,sample,valid_time,lead_time,lead_time_hours,lat,lon,minimum_sea_level_pressure_hpa,maximum_sustained_wind_speed_knots,radius_of_maximum_winds_km,radius_34_knot_winds_ne_km,radius_34_knot_winds_se_km,radius_34_knot_winds_sw_km,radius_34_knot_winds_nw_km,radius_50_knot_winds_ne_km,radius_50_knot_winds_se_km,radius_50_knot_winds_sw_km,radius_50_knot_winds_nw_km,radius_64_knot_winds_ne_km,radius_64_knot_winds_se_km,radius_64_knot_winds_sw_km,radius_64_knot_winds_nw_km
2026-07-05 12:00:00,4,0,2026-07-09 12:00:00,4 days 00:00:00,96,10.8,156.43,1004.0,23.6,77.04284112531292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-05 12:00:00,4,0,2026-07-09 18:00:00,4 days 06:00:00,102,11.43,154.82,1007.3,25.7,67.08350688701199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-05 12:00:00,4,0,2026-07-10 00:00:00,4 days 12:00:00,108,12.54,153.59,1000.7,27.6,111.69767095059224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-05 12:00:00,4,0,2026-07-10 06:00:00,4 days 18:00:00,114,12.23,151.89,995.0,41.9,47.0489972241251,71.32867425136794,67.63207274733097,61.88254646357494,60.43385058803293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-05 12:00:00,4,0,2026-07-10 12:00:00,5 days 00:00:00,120,12.72,150.94,1003.4,28.5,106.03048946686442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-05 12:00:00,4,0,2026-07-10 18:00:00,5 days 06:00:00,126,12.93,149.05,1002.9,26.2,141.98606703175312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-05 12:00:00,4,0,2026-07-11 00:00:00,5 days 12:00:00,132,13.2,147.4,1000.1,30.2,54.173844720885725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-05 12:00:00,4,0,2026-07-11 06:00:00,5 days 18:00:00,138,13.21,146.78,1001.4,26.2,94.38865585140412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-05 12:00:00,4,0,2026-07-11 12:00:00,6 days 00:00:00,144,13.67,144.7,1005.1,22.1,131.70747872933651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-05 12:00:00,4,0,2026-07-11 18:00:00,6 days 06:00:00,150,13.84,142.92,1005.0,24.8,122.630540015129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-05 12:00:00,4,0,2026-07-12 00:00:00,6 days 12:00:00,156,14.28,141.78,1002.1,24.7,113.87784545673118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-05 12:00:00,4,0,2026-07-12 06:00:00,6 days 18:00:00,162,14.56,140.93,999.3,32.3,68.75502197505085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-05 12:00:00,4,0,2026-07-12 12:00:00,7 days 00:00:00,168,14.74,139.08,998.4,36.9,87.14942331108863,106.20665362530532,93.0599581271631,96.796266521091,110.96312721702924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-05 12:00:00,4,0,2026-07-12 18:00:00,7 days 06:00:00,174,15.28,138.01,990.9,41.2,67.23151603649424,96.1951788351617,82.81080840162879,86.52915279924042,92.21323963272812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-05 12:00:00,4,0,2026-07-13 00:00:00,7 days 12:00:00,180,15.46,136.62,985.3,56.7,29.644959023829927,100.22319867182262,81.66516723291546,78.0651457360737,98.133764775638,0.4446945655730459,0.0,0.0,29.644959023829927,0.0,0.0,0.0,0.0
2026-07-05 12:00:00,4,0,2026-07-13 06:00:00,7 days 18:00:00,186,16.28,135.33,989.6,61.3,18.2694694485064,143.34316213502967,124.9957083753076,102.24243557855787,135.5435257477039,79.38890007747193,72.29055817939033,59.09265899633605,66.00188586048976,0.0,0.0,0.0,0.0
