# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
init_time,track_id,sample,valid_time,lead_time,lat,lon,minimum_sea_level_pressure_hpa,maximum_sustained_wind_speed_knots,radius_of_maximum_winds_km,radius_34_knot_winds_ne_km,radius_34_knot_winds_se_km,radius_34_knot_winds_sw_km,radius_34_knot_winds_nw_km,radius_50_knot_winds_ne_km,radius_50_knot_winds_se_km,radius_50_knot_winds_sw_km,radius_50_knot_winds_nw_km,radius_64_knot_winds_ne_km,radius_64_knot_winds_se_km,radius_64_knot_winds_sw_km,radius_64_knot_winds_nw_km
2026-06-29,WP952026,0.0,2026-06-29 00:00:00,0 days 00:00:00,9.1,167.8,1006.0,25.0,277.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-29,WP952026,0.0,2026-06-29 06:00:00,0 days 06:00:00,8.75,165.39,1009.0,15.8,78.85236706560045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-29,WP952026,1.0,2026-06-29 00:00:00,0 days 00:00:00,9.1,167.8,1006.0,25.0,277.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-29,WP952026,1.0,2026-06-29 06:00:00,0 days 06:00:00,9.05,172.26,1006.6,18.5,79.22456408552696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-29,WP952026,1.0,2026-06-29 12:00:00,0 days 12:00:00,8.35,172.75,1007.4,19.5,132.9243180820804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-29,WP952026,1.0,2026-06-29 18:00:00,0 days 18:00:00,8.62,171.79,1009.6,16.8,170.9145472685995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-29,WP952026,2.0,2026-06-29 00:00:00,0 days 00:00:00,9.1,167.8,1006.0,25.0,277.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-29,WP952026,3.0,2026-06-29 00:00:00,0 days 00:00:00,9.1,167.8,1006.0,25.0,277.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-29,WP952026,4.0,2026-06-29 00:00:00,0 days 00:00:00,9.1,167.8,1006.0,25.0,277.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-29,WP952026,4.0,2026-06-29 06:00:00,0 days 06:00:00,8.28,165.1,1009.0,13.4,142.19940989351738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-29,WP952026,4.0,2026-06-29 12:00:00,0 days 12:00:00,8.66,165.35,1009.0,15.4,127.77244008976972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-29,WP952026,4.0,2026-06-29 18:00:00,0 days 18:00:00,8.71,164.16,1008.6,13.1,133.6001734320777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-29,WP952026,4.0,2026-06-30 00:00:00,1 days 00:00:00,8.08,163.79,1006.6,17.3,129.8913771557458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-29,WP952026,5.0,2026-06-29 00:00:00,0 days 00:00:00,9.1,167.8,1006.0,25.0,277.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-29,WP952026,6.0,2026-06-29 00:00:00,0 days 00:00:00,9.1,167.8,1006.0,25.0,277.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-29,WP952026,7.0,2026-06-29 00:00:00,0 days 00:00:00,9.1,167.8,1006.0,25.0,277.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-29,WP952026,8.0,2026-06-29 00:00:00,0 days 00:00:00,9.1,167.8,1006.0,25.0,277.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-29,WP952026,9.0,2026-06-29 00:00:00,0 days 00:00:00,9.1,167.8,1006.0,25.0,277.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-29,WP952026,10.0,2026-06-29 00:00:00,0 days 00:00:00,9.1,167.8,1006.0,25.0,277.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-29,WP952026,11.0,2026-06-29 00:00:00,0 days 00:00:00,9.1,167.8,1006.0,25.0,277.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
