track,sample,lon,lat,pressure
Invest_AIGEFS,6,168.75,49.0,983.6051
Invest_AIGEFS,6,170.5,50.25,987.8777
Invest_AIGEFS,6,172.75,51.5,993.0789
Invest_AIGEFS,6,176.0,53.25,997.16406
Invest_AIGEFS,6,160.75,11.75,996.8697
Invest_AIGEFS,6,160.75,12.0,992.6857
Invest_AIGEFS,6,158.75,13.75,984.20154
Invest_AIGEFS,6,156.75,14.75,975.2302
Invest_AIGEFS,6,155.0,15.5,971.6336
Invest_AIGEFS,6,153.0,16.0,964.678
Invest_AIGEFS,6,151.0,16.75,961.4311
Invest_AIGEFS,6,148.25,17.0,956.73615
Invest_AIGEFS,6,145.75,17.75,954.85236
Invest_AIGEFS,6,143.25,18.0,954.1086
Invest_AIGEFS,6,140.5,18.75,954.9433
Invest_AIGEFS,6,138.0,19.25,949.4032
Invest_AIGEFS,6,135.25,20.0,951.3278
Invest_AIGEFS,6,132.5,20.75,952.2378
Invest_AIGEFS,6,130.25,21.5,943.53094
Invest_AIGEFS,7,162.0,47.5,985.0106
Invest_AIGEFS,7,164.5,49.0,981.7554
Invest_AIGEFS,7,167.5,48.75,984.7483
Invest_AIGEFS,7,169.25,50.25,988.67584
Invest_AIGEFS,7,170.75,50.75,993.7079
Invest_AIGEFS,7,118.25,14.0,995.0683
Invest_AIGEFS,7,163.5,12.5,983.12915
Invest_AIGEFS,7,162.0,13.75,972.3805
Invest_AIGEFS,7,160.5,14.5,970.8016
Invest_AIGEFS,7,158.5,15.5,971.8801
Invest_AIGEFS,7,157.0,15.75,966.6936
Invest_AIGEFS,7,109.75,20.75,966.15295
Invest_AIGEFS,7,152.75,17.75,962.85516
Invest_AIGEFS,7,150.25,18.5,961.4814
Invest_AIGEFS,7,148.75,19.5,953.0863
Invest_AIGEFS,7,147.0,20.5,948.8312
Invest_AIGEFS,7,145.75,21.75,952.22595
Invest_AIGEFS,7,144.0,23.25,954.5722
Invest_AIGEFS,7,141.75,24.0,953.8028
Invest_AIGEFS,7,139.75,25.75,956.642
Invest_AIGEFS,7,138.0,27.25,957.34143
Invest_AIGEFS,8,161.25,47.5,983.75104
Invest_AIGEFS,8,165.0,49.5,980.2343
Invest_AIGEFS,8,165.25,49.0,982.0817
Invest_AIGEFS,8,168.75,50.25,984.7742
Invest_AIGEFS,8,173.25,51.25,991.7592
Invest_AIGEFS,8,119.25,14.25,984.32416
Invest_AIGEFS,8,117.25,15.0,976.74023
Invest_AIGEFS,8,115.75,15.5,971.48706
Invest_AIGEFS,8,114.5,16.25,961.988
Invest_AIGEFS,8,113.5,17.75,965.3782
Invest_AIGEFS,8,111.75,18.75,959.0747
Invest_AIGEFS,8,110.25,19.75,953.05695
Invest_AIGEFS,8,109.5,20.5,954.39813
Invest_AIGEFS,8,109.0,21.75,971.8105
Invest_AIGEFS,8,108.5,23.75,987.4422
Invest_AIGEFS,8,144.25,15.75,987.16974
Invest_AIGEFS,8,141.25,16.5,978.42914
Invest_AIGEFS,8,138.75,17.25,972.2503
Invest_AIGEFS,8,136.0,18.0,971.13837
Invest_AIGEFS,8,132.75,19.0,970.1094
Invest_AIGEFS,8,130.25,19.75,962.9146
Invest_AIGEFS,9,161.25,46.5,984.10187
Invest_AIGEFS,9,164.25,48.5,980.11444
Invest_AIGEFS,9,166.75,49.0,982.0769
Invest_AIGEFS,9,169.0,50.25,986.80664
Invest_AIGEFS,9,170.25,50.75,991.7171
Invest_AIGEFS,9,120.0,60.0,997.7594
Invest_AIGEFS,9,160.75,10.75,985.77594
Invest_AIGEFS,9,159.0,11.75,976.8524
Invest_AIGEFS,9,157.0,12.75,974.0861
Invest_AIGEFS,9,155.0,13.75,973.076
Invest_AIGEFS,9,152.25,14.75,971.3563
Invest_AIGEFS,9,111.25,21.5,967.6013
Invest_AIGEFS,9,146.75,16.5,970.5348
Invest_AIGEFS,9,143.75,17.0,967.32196
Invest_AIGEFS,9,141.0,17.75,961.77094
Invest_AIGEFS,9,137.75,18.25,964.2251
Invest_AIGEFS,9,134.5,18.5,962.60205
Invest_AIGEFS,9,131.25,19.0,959.70905
Invest_AIGEFS,9,129.0,19.25,956.2511
Invest_AIGEFS,9,126.75,19.75,948.674
Invest_AIGEFS,9,125.5,20.75,948.2113
Invest_AIGEFS,10,161.0,47.0,983.7477
Invest_AIGEFS,10,164.0,49.0,979.8205
Invest_AIGEFS,10,167.75,49.0,982.7134
Invest_AIGEFS,10,169.25,50.75,986.03076
Invest_AIGEFS,10,170.75,51.25,993.16296
Invest_AIGEFS,10,119.0,13.25,989.2676
Invest_AIGEFS,10,117.5,14.0,990.1644
Invest_AIGEFS,10,116.25,15.25,979.53925
Invest_AIGEFS,10,114.75,16.25,967.7139
Invest_AIGEFS,10,113.75,17.75,965.286
Invest_AIGEFS,10,112.25,19.5,962.44727
Invest_AIGEFS,10,110.75,21.5,964.2475
Invest_AIGEFS,10,155.25,15.5,974.53625
Invest_AIGEFS,10,153.25,16.5,972.87146
Invest_AIGEFS,10,151.0,17.25,967.63763
Invest_AIGEFS,10,148.75,17.75,965.1516
Invest_AIGEFS,10,146.5,18.0,960.2308
Invest_AIGEFS,10,143.75,18.5,960.67365
Invest_AIGEFS,10,141.25,19.0,960.5108
Invest_AIGEFS,10,138.25,19.75,960.49615
Invest_AIGEFS,10,135.25,20.25,959.1969
Invest_AIGEFS,11,162.0,47.5,983.1195
Invest_AIGEFS,11,165.0,48.25,980.3463
Invest_AIGEFS,11,168.25,49.25,982.7686
Invest_AIGEFS,11,171.0,50.75,987.65594
Invest_AIGEFS,11,171.75,51.0,993.3267
Invest_AIGEFS,11,119.5,14.5,987.2492
Invest_AIGEFS,11,117.0,16.25,989.17377
Invest_AIGEFS,11,114.5,17.5,980.54974
Invest_AIGEFS,11,113.0,18.25,970.9652
Invest_AIGEFS,11,112.0,19.5,965.6893
Invest_AIGEFS,11,110.5,21.0,971.0396
Invest_AIGEFS,11,152.0,14.0,968.8855
Invest_AIGEFS,11,149.5,15.0,970.5611
Invest_AIGEFS,11,146.75,15.75,967.7562
Invest_AIGEFS,11,143.5,17.0,970.1742
Invest_AIGEFS,11,140.75,17.5,960.1964
Invest_AIGEFS,11,137.5,18.5,963.01984
Invest_AIGEFS,11,134.25,19.5,957.438
Invest_AIGEFS,11,131.25,20.0,956.83954
Invest_AIGEFS,11,129.0,20.5,957.84045
Invest_AIGEFS,11,126.75,21.5,948.0814
Invest_AIGEFS,12,161.25,47.75,984.0315
Invest_AIGEFS,12,163.75,48.0,981.9729
Invest_AIGEFS,12,167.75,48.75,984.48413
Invest_AIGEFS,12,169.5,50.25,988.25464
Invest_AIGEFS,12,172.75,51.5,993.24695
Invest_AIGEFS,12,118.5,13.75,984.427
Invest_AIGEFS,12,116.25,14.5,975.78577
Invest_AIGEFS,12,114.5,15.5,969.0236
Invest_AIGEFS,12,112.75,16.5,967.04584
Invest_AIGEFS,12,111.5,18.25,966.349
Invest_AIGEFS,12,109.75,19.5,965.77856
Invest_AIGEFS,12,107.75,21.5,971.4307
Invest_AIGEFS,12,107.25,22.25,988.7425
Invest_AIGEFS,12,100.5,39.0,992.9165
Invest_AIGEFS,12,148.75,12.0,990.75336
Invest_AIGEFS,12,147.0,13.5,987.29236
Invest_AIGEFS,12,144.5,14.25,979.30237
Invest_AIGEFS,12,141.25,16.0,975.928
Invest_AIGEFS,12,138.0,16.75,971.9152
Invest_AIGEFS,12,135.25,17.5,961.1995
Invest_AIGEFS,12,132.75,18.0,960.81335
Invest_AIGEFS,13,161.75,48.0,983.258
Invest_AIGEFS,13,163.25,49.0,980.83026
Invest_AIGEFS,13,166.5,49.5,983.2707
Invest_AIGEFS,13,167.75,50.25,987.79584
Invest_AIGEFS,13,171.75,51.25,992.97705
Invest_AIGEFS,13,176.75,54.25,997.4559
Invest_AIGEFS,13,120.5,60.0,999.59174
Invest_AIGEFS,13,119.75,51.5,997.1794
Invest_AIGEFS,13,100.0,39.25,997.6529
Invest_AIGEFS,13,100.25,39.0,993.928
Invest_AIGEFS,13,100.25,39.25,994.9896
Invest_AIGEFS,13,102.75,38.0,993.88306
Invest_AIGEFS,13,148.0,13.0,992.41846
Invest_AIGEFS,13,145.75,14.5,980.721
Invest_AIGEFS,13,142.75,15.25,974.8246
Invest_AIGEFS,13,139.5,15.5,973.42456
Invest_AIGEFS,13,136.25,15.75,971.35944
Invest_AIGEFS,13,133.0,16.0,966.51086
Invest_AIGEFS,13,130.0,16.5,963.2032
Invest_AIGEFS,13,127.5,17.5,962.1911
Invest_AIGEFS,13,124.75,18.5,961.2764
Invest_AIGEFS,14,162.0,47.5,984.35126
Invest_AIGEFS,14,163.75,48.0,980.7469
Invest_AIGEFS,14,167.25,48.5,982.3
Invest_AIGEFS,14,169.0,50.0,986.86945
Invest_AIGEFS,14,171.25,51.0,991.6066
Invest_AIGEFS,14,175.25,52.75,996.1926
